Judul,Gambar,Sumber Gambar,Alat dan Bahan,Langkah,Jenis,Sumber Artikel,Artikel Serupa
Membuat Keset dari Kain Perca dengan Menyulam,membuat_keset_dari_kain_perca_dengan_menyulam.jpg,Teknik Sulam (Pinterest.com),"['Kain kanvas', 'Kain perca', 'Gunting', 'Lem kain', 'Jarum tapestry', 'Benang sulam']","['Potong kain kanvas dengan ukuran 70 cm x 50 cm.', 'Potong kain perca sesuai dengan alur seratnya membentuk potongan kecil-kecil seperti garis memanjang, dengan ukuran sekitar 10 cm lebih panjang daripada ukuran alas keset.', 'Kepang kain perca sebanyak tiga helai sehingga membentuk ikatan kain yang memanjang.', 'Persiapkan alas keset dari potongan kain kanvas lalu lumuri permukaannya dengan lem kain sampai merata.', 'Tempel kepangan kain perca secara bertahap sampai seluruh bagian atas kain kanvas tertutupi hingga keseluruhannya.', 'Jahit kelebihan ujung kepangan kain dengan jarum tapestry dan benang sulam.']",kain,https://www.orami.co.id/magazine/kerajinan-dari-kain-perca?page=all,"['Membuat Keset dari Kain Perca dengan Kawat Kasa', 'Membuat Bros dari Kain Perca', 'Taplak Meja dari Kain Perca', 'Selimut dari kain perca', 'Bandana dari Kain Perca']"
Tote Bag dari Kain Perca,tote_bag_dari_kain_perca.jpg,Tote Bag (Pinterest.com),"['Kain perca warna-warni', '1/2 meter kain blacu', '1/2 kain flanel motif', 'Benang jahit warna merah dan jarum', 'Mesin jahit (opsional)']
","['Carilah dulu ide model tote bag yang akan dibuat. Jangan lupa digambar biar nanti mudah untuk membuatnya.', 'Potong kain perca menjadi ukuran yang sama, setelah itu gabungkan satu demi satu.', 'Bisa memotong kain perca menjadi bentuk persegi atau segitiga, sesuai keinginan, usahakan antara kain perca memiliki warna yang kontras, agar tas terlihat unik.', 'Kemudian buatlah tas dari kain blacu.', 'Potong kain blacu dengan lebar 50 cm dan panjangnya 100 cm.', 'Jahit kain sampai membentuk kantong dengan ukuran 50×50 cm, jangan lupa rapikan bekas jahitannya ya.', 'Lalu, pasangkan bagian dalam tas yang terbuat dari kain flanel motif.', 'Cukup potong kain flanel sesuai ukuran, kemudian jahit pada bagian yang sudah dibuat.', 'Selanjutnya buat tali untuk tas nya, potong 2 helai kain blacu dengan ukuran panjang 100 cm dan lebar 10 cm.', 'Setelah itu jahit dan sambungkan pada bagian tas yang pertama.', 'Setelah tas mulai terbentuk, tinggal mengaplikasikan kain perca pada bagian luar tas.', 'Tote bag dari kain perca sudah jadi.']
",kain,https://www.orami.co.id/magazine/kerajinan-dari-kain-perca?page=all,"['Tas Jinjing dari Kain Perca', 'Selimut dari kain perca', 'Taplak Meja dari Kain Perca', 'Bandana kain perca', 'Bandana dari Kain Perca']"
Sarung Kabel dari Kain Perca,sarung_kabel_dari_kain_perca.jpg,pengait kabel kain perca (Craftyforhome.com),"['Kain perca motif dan polos', 'Kain keras dengan ketebalan sedang', 'Velco', 'Alat ukur', 'Benang', 'Gunting', 'Mesin jahit']","['Guntinglah kain perca motif, polos, dan kain keras ukuran 10 x 8 cm.', 'Pilih kain motif dan polos warna senada agar cord keeper terlihat cantik.', 'Gunting velco ukuran 3 x 2 cm; sesuaikan dengan kain perca jika terlalu besar.', 'Rekatkan kain keras pada kain perca motif dengan setrika, hindari lem menempel pada setrika.', 'Tumpuk kain motif dan kain keras ke kain polos.', 'Jahit sekeliling, sisakan 5 cm sebagai lubang untuk membalik kain.', 'Sebelum dibalik, rapikan kain sisa di sekeliling.', 'Setelah dibalik, jahit sekelilingnya dan rapikan.', 'Terakhir, jahit velco di depan dan belakang kain.', 'Ciptakan cord keeper cantik untuk merapikan earphone atau charger.']",kain,https://www.orami.co.id/magazine/kerajinan-dari-kain-perca?page=all,"['Sarung kabel', 'Taplak Meja dari Kain Perca', 'Membuat Bros dari Kain Perca', 'Selimut dari kain perca', 'Gorden Dari Kain Perca Yang Sederhana']"
Bandana dari Kain Perca,bandana_dari_kain_perca.jpg,Bandana Kain Perca (Pinterest.com),"['Kain perca satin', 'Kancing hias', 'Jarum + benang', 'Karet elastik', 'Gunting', 'Lem tembak', 'Lilin', 'Seterika']","['Gunting 2 potongan kain lebar +5 cm dan panjang mengikuti panjang baju/kaos.', 'Buat bentuk ikan dengan satu potong, letakkan potongan lain di atasnya arah berlawanan.', 'Sisi kiri bawah diletakkan di bawah lengkungan kain. Sisi kanan atas dimasukkan ke dalam lengkungan untuk mengunci simpul.', 'Potong keempat sisi hingga sama panjang.', 'Sesuaikan dengan ukuran diameter kepala bayi, jika kurang panjang, sambung dengan sisa bahan.', 'Setelah sama panjang, sambung dan balut keempat sisi.', 'Lalu jahitlah dengan warna benang senada.', 'Bandana siap dipakai.']",kain,https://www.orami.co.id/magazine/kerajinan-dari-kain-perca?page=all,"['Bandana kain perca', 'Membuat Bros dari Kain Perca', 'Masker dari kain perca', 'Taplak Meja dari Kain Perca', 'Membuat Keset dari Kain Perca dengan Menyulam']"
Membuat Keset dari Kain Perca dengan Kawat Kasa,membuat_keset_dari_kain_perca_dengan_kawat_kasa.jpg,Keset Kasa (Pinterest.com),"['Kain kanvas sebagai alas keset rumah', 'Jarum khusus tapestry atau ukuran besar untuk menyulam', 'Benang sulam berwarna hitam', 'Gunting', 'Lem kain', 'Selotip hitam', 'Meteran']","['Senyediakan 3 alat utama seperti gunting, kawat kassa, dan kain perca.', 'Selanjutnya, gunting perca dengan ukuran lebar 3 cm dan panjang 7 cm. Ikat potongannya pada celah kawat kasa yang berlubang.', 'Ikat dengan kuat dan rapi agar tidak mudah lepas setiap celah kawat kassanya.']",kain,https://www.orami.co.id/magazine/kerajinan-dari-kain-perca?page=all,"['Membuat Keset dari Kain Perca dengan Menyulam', 'Membuat Bros dari Kain Perca', 'Taplak Meja dari Kain Perca', 'Selimut dari kain perca', 'Bandana dari Kain Perca']"
Syal Dari Kaos Bekas,syal_dari_kaos_bekas.jpg,Pinterest,"['Kaos bekas', 'Gunting']","['Pilih kaos bekas dengan ukuran yang sesuai dengan keinginan.', 'Gunting bagian bawah kaos hingga membentuk syal dengan panjang dan lebar yang diinginkan.', 'Rapikan bagian tepi syal dengan mengguntingnya secara serong.', 'Syal siap digunakan.']",kain,https://fitinline.com/article/read/18-ide-daur-ulang-kaos-bekas-menjadi-produk-serbaguna-untuk-kebutuhan-sehari-hari/,"['Selimut Kaos Bekas', 'Tote Bag Kaos Bekas', 'Gelang Kaos Bekas', 'Tas Belanja Kaos Bekas', 'Kantung Koin Dari Kaos Bekas']"
Tote Bag Kaos Bekas,tote_bag_kaos_bekas.jpg,facetofeet.com,"['Kaos bekas', 'Gunting', 'Jarum dan benang']","['Gunting bagian lengan dan leher kaos untuk membuat pegangan atau tali tote bag.', 'Jahit bagian bawah kaos dengan menggunakan mesin jahit melalui bagian buruk bahan.', 'Selesai dijahit, balikkan kembali tote bag sehingga bagian baiknya berada di luar.', 'Sampai di sini, tote bag dari bahan kaos bekas sudah siap untuk digunakan.']",kain,https://fitinline.com/article/read/18-ide-daur-ulang-kaos-bekas-menjadi-produk-serbaguna-untuk-kebutuhan-sehari-hari/,"['Tas Belanja Kaos Bekas', 'Kantung Koin Dari Kaos Bekas', 'Gelang Kaos Bekas', 'Tote Bag dari Kain Perca', 'Tas Jinjing dari Kain Perca']"
Gelang Kaos Bekas,gelang_kaos_bekas.jpg,craftdgirl.wordpress.com,"['Kaos bekas', 'Gunting']","['Potong-potong kecil bahan kaos bekas dengan posisi memanjang.', 'Ambil tiga helai potongan bahan kain kaos, kemudian kepang hingga membentuk pola yang unik sesuai ukuran lingkar tangan Anda.']",kain,https://fitinline.com/article/read/18-ide-daur-ulang-kaos-bekas-menjadi-produk-serbaguna-untuk-kebutuhan-sehari-hari/,"['Tote Bag Kaos Bekas', 'Boneka Kaos Bekas', 'Tas Belanja Kaos Bekas', 'Syal Dari Kaos Bekas', 'Kantung Koin Dari Kaos Bekas']"
Kaos Ombre,kaos_ombre.jpg,netbul.org,"['Kaos berwarna putih (bisa berbentuk kaos oblong maupun kaos singlet).', 'Pewarna kain.', 'Gantungan baju.', 'Jepitan baju.', 'Wadah untuk mencampur pewarna kain.']","['Rendam kaos putih ke dalam wadah yang berisi air hangat selama beberapa saat, lalu peras hingga tidak ada air yang menetes.', 'Gantung kaos dengan menggunakan hanger dan penjepit pakaian.', 'Siapkan wadah untuk mencampur pewarna kain. Tuangkan sedikit bahan pewarna kain ke dalam wadah yang telah diisi air hangat sambil diaduk-aduk perlahan hingga merata.', 'Celupkan bagian ujung kaos ke dalam campuran air dan zat pewarna selama beberapa saat, kemudian angkat.', 'Tambahkan kembali zat pewarna ke dalam air, kemudian celupkan kembali bagian ujung kaos seperti cara sebelumnya. Lakukan proses pewarnaan selama berulang kali hingga diperoleh gradasi warna yang sesuai dengan keinginan Anda.', 'Setelah proses pewarnaan selesai, diamkan kaos hingga kering dengan sendirinya.', 'Bilas kaos dengan air hangat dan sedikit deterjen.']",kain,https://fitinline.com/article/read/18-ide-daur-ulang-kaos-bekas-menjadi-produk-serbaguna-untuk-kebutuhan-sehari-hari/,"['Bandana kain perca', 'Bandana dari Kain Perca', 'Tas Belanja Kaos Bekas', 'Syal Dari Kaos Bekas', 'Boneka Kaos Bekas']"
Kantung Koin Dari Kaos Bekas,kantung_koin_dari_kaos_bekas.jpg,bostonhassle.com,"['Kaos bekas', 'Gunting', 'Jarum dan benang']","['Gunting bagian lengan dan leher kaos.', 'Lipat kaos menjadi dua bagian yang sama panjang.', 'Jahit kedua bagian kaos menjadi satu.', 'Buat lubang kecil pada bagian atas kantong.', 'Masukkan tali ke dalam lubang tersebut.', 'Ikat tali pada bagian atas kantong.']",kain,https://fitinline.com/article/read/18-ide-daur-ulang-kaos-bekas-menjadi-produk-serbaguna-untuk-kebutuhan-sehari-hari/,"['Tote Bag Kaos Bekas', 'Tas Belanja Kaos Bekas', 'Syal Dari Kaos Bekas', 'Gelang Kaos Bekas', 'Selimut Kaos Bekas']"
